,index,Similarity_Type,Number of Clusters (input),Number of clusters(output),Affinity Type,Word/Sentence,File_Name,Clusters,Mismatch Metric,Match Metric,M,False Positive,False Negative,costs
54,55,num_word_similarity,14,8,sigmoid,word-based,n50_de_rma,"[4, 13, 1, 13, 1, 1, 1, 1, 1, 1, 1, 1, 4, 2, 13, 5, 5, 1, 0, 1, 1, 10, 4, 1, 1, 8, 1, 1, 4, 4, 4, 1, 1, 1, 1, 1, 13, 2, 1, 4, 4, 4, 1, 4, 1, 13, 1, 4, 1, 4]",824.0,84.0,2.0,52.0,772.0,"(74.781756239913562, 25.990543717863222)"
55,56,num_word_similarity,14,14,sigmoid,sentence-based,n50_de_rma,"[ 0  0  4  0  4 11  0  0  0 12  0 10  0  0  0  0  0  9 13  4  0  0  0  7  5
  8  4  6  0  3  1  2  0 11  0 11  0  4  0  4  0 11  4 11  0  0  0  0 11  0]",776.0,66.0,1.0,70.0,706.0,"(467.4322344322365, 79.480000000000018)"
56,57,num_word_similarity,14,8,polynomial,word-based,n50_de_rma,"[0, 2, 2, 2, 10, 0, 2, 10, 0, 2, 2, 2, 2, 2, 2, 6, 2, 0, 0, 3, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 0, 2, 6, 3, 2, 2, 10, 2, 8, 0, 1, 0, 2, 9, 2, 2, 3, 2]",990.0,76.0,2.5,60.0,930.0,"(93.37499162950381, 27.237579114544474)"
57,58,num_word_similarity,14,14,polynomial,sentence-based,n50_de_rma,"[ 2  2  2  2  2  2  2  2  2  2  5  2 11  2  2  2  2  2  2  2  2  2  2  7  7
  0  2  7  5  1 13  4  2  9  3  0 10 12  2  6  2  0  2  8  2  2  2  0  2  2]",1008.0,64.0,1.0,72.0,936.0,"(620.05645161290386, 89.999999999999929)"
58,59,num_word_similarity,14,9,poly,word-based,n50_de_rma,"[1, 1, 1, 1, 11, 1, 0, 8, 10, 1, 1, 1, 1, 1, 1, 5, 4, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 10, 1, 5, 1, 1, 1, 11, 1, 7, 7, 2, 7, 1, 0, 1, 1, 0, 1]",1006.0,82.0,2.0,54.0,952.0,"(87.996325183268695, 26.194646473204873)"
59,60,num_word_similarity,14,14,poly,sentence-based,n50_de_rma,"[ 0  0  0  0  0  0  0  0  0  0  7  0 13  0  0  0  0  0  0  0  0  0  0  3  3
 11 13  3  7  1  5  5  0  6  8 12  2  4  0 10 13 11  0  9  0  0  0 11  0  0]",892.0,64.0,1.0,72.0,820.0,"(613.09770114942671, 92.599999999999966)"
60,61,num_word_similarity,14,12,linear,word-based,n50_de_rma,"[3, 4, 2, 2, 13, 13, 13, 2, 9, 5, 2, 3, 4, 4, 12, 6, 8, 7, 0, 7, 0, 0, 3, 12, 4, 5, 2, 1, 1, 9, 2, 1, 3, 6, 6, 7, 12, 4, 2, 9, 4, 4, 0, 4, 1, 4, 5, 1, 7, 7]",270.0,62.0,3.5,74.0,196.0,"(97.592274020371434, 27.165015166995417)"
61,62,num_word_similarity,14,14,linear,sentence-based,n50_de_rma,"[ 6  5 10  2 10 13 12  2  6  2  3  2  8  5  0  9  2  2  2  2  8  8  8 10  1
  7  7  1  3 11  1  7  6  4  4  2  4  0  0  5  7  7  2  0  9  0  0  5  2 12]",276.0,62.0,3.0,74.0,202.0,"(528.81969696969691, 94.599999999999909)"
62,63,num_word_similarity,14,12,cosine,word-based,n50_de_rma,"[0, 10, 4, 7, 4, 1, 4, 4, 3, 5, 3, 2, 0, 13, 0, 1, 1, 6, 0, 6, 4, 0, 0, 3, 1, 4, 4, 7, 1, 3, 1, 4, 4, 12, 9, 9, 12, 0, 4, 3, 0, 0, 1, 0, 2, 0, 0, 0, 1, 9]",378.0,72.0,2.0,64.0,314.0,"(97.874047864459556, 26.494660042764774)"
63,64,num_word_similarity,14,14,cosine,sentence-based,n50_de_rma,"[ 9 13  1  5  1  6  0  1  9  2  0  2 10 13  4 11  7  5  6  2  3  3  3  5  5
  7  7  5 11  5 13 13  9  8  8  7  8  4  4 13 13  7  1 12 11  4  4  7  2  0]",228.0,62.0,3.0,74.0,154.0,"(428.0499999999999, 91.279999999999944)"
